201401_supply,201402_supply,201403_supply,201404_supply,201501_supply,201502_supply,201503_supply,201504_supply,201601_supply,201602_supply,201603_supply,201604_supply,201401_demand,201402_demand,201403_demand,201404_demand,201501_demand,201502_demand,201503_demand,201504_demand,201601_demand,201602_demand,201603_demand,201604_demand,sector,skill
0.0757,0.07521,0.07523,0.07529,0.07654,0.07908,0.08694,0.11626,0.15506,0.18417,0.20731,0.23049,0.42403,0.42785,0.42249,0.42596,0.42371,0.42393,0.42122,0.42014,0.42269,0.42249,0.39679,0.396,Management,QA
0.13514,0.13203,0.13227,0.13228,0.13818,0.14379,0.144,0.1501,0.16163,0.16718,0.16833,0.1742,0.20398,0.20637,0.20959,0.21409,0.21208,0.20963,0.20989,0.20719,0.20059,0.20004,0.19887,0.19682,Data,SQL
0.17171,0.17129,0.1713,0.17004,0.17801,0.18654,0.17674,0.17624,0.18181,0.17804,0.16982,0.17141,0.1884,0.19377,0.19851,0.19914,0.19366,0.19376,0.19518,0.19098,0.19057,0.19492,0.21084,0.21461,Software Development,Java
0.13006,0.12641,0.12588,0.12423,0.13117,0.13844,0.13494,0.14166,0.15372,0.15473,0.15121,0.15377,0.14968,0.14477,0.13304,0.13054,0.12784,0.12727,0.12457,0.12134,0.11671,0.11285,0.08379,0.0752,Data,Oracle
0.11744,0.11825,0.12011,0.12005,0.12813,0.13724,0.13236,0.13757,0.14699,0.14748,0.14505,0.15,0.15464,0.16038,0.16991,0.17625,0.17141,0.1705,0.16869,0.1763,0.16832,0.16453,0.22892,0.23299,Software Development,JavaScript
0.17435,0.1752,0.17601,0.17342,0.18044,0.18894,0.1711,0.16671,0.16474,0.15446,0.14331,0.14372,0.10079,0.1027,0.10591,0.10735,0.10283,0.10152,0.09912,0.10207,0.09586,0.09543,0.1193,0.11817,Software Development,HTML
0.16211,0.16037,0.16078,0.16164,0.16253,0.16235,0.15993,0.159,0.15295,0.14674,0.14347,0.14009,0.19401,0.19759,0.18531,0.1836,0.18309,0.17835,0.17433,0.17251,0.1754,0.17246,0.1401,0.13507,Management,Project management
0.03087,0.03107,0.03144,0.03182,0.03472,0.03806,0.04946,0.06804,0.08641,0.10106,0.11338,0.12155,0.41568,0.41403,0.41293,0.42024,0.41891,0.42599,0.41802,0.41322,0.41892,0.4048,0.43881,0.44198,Management,Leadership
0.01115,0.01118,0.01158,0.01182,0.01219,0.01403,0.01679,0.03858,0.06745,0.08843,0.1034,0.12008,0.1891,0.19054,0.19207,0.19456,0.19389,0.19079,0.19289,0.19138,0.19241,0.18852,0.1697,0.16478,Data,Database
0.21533,0.21268,0.2111,0.20861,0.20696,0.20528,0.18584,0.16801,0.14873,0.1314,0.11729,0.11005,0.10155,0.10242,0.10306,0.10201,0.10236,0.1033,0.10391,0.10415,0.10498,0.10486,0.08621,0.08678,I.T. Administration,Microsoft Windows
